"PointID","x","y","Pressure","Velocity_x","Velocity_y","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Heat_Capacity","Thermal_Conductivity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
42, 9.636006432043138e-01, 1.438676243037841e-03, 6.557697950615440e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.311539590123088e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.382633246011881e-03, -7.849688468083243e-05, -0.000000000000000e+00, 8.158898115952006e+00, 0.000000000000000e+00
43, 9.608906456078921e-01, 1.592532205510347e-03, 6.178463457988218e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.235692691597644e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.378313549225399e-03, -8.252075320379450e-05, -0.000000000000000e+00, 8.145027497689574e+00, 0.000000000000000e+00
44, 9.579439639475482e-01, 1.777346230837723e-03, 5.129591761738170e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.025918352347634e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.381650599526729e-03, -9.134418562095196e-05, -0.000000000000000e+00, 8.154404521160250e+00, 0.000000000000000e+00
45, 9.547416709550471e-01, 1.999055448261004e-03, 4.022870537369733e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.045741074739468e-02, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.395947446781061e-03, -9.664775106918903e-05, -0.000000000000000e+00, 8.195013547728388e+00, 0.000000000000000e+00
46, 9.512620963978125e-01, 2.239962121653159e-03, 3.443772506295272e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 6.887545012590546e-02, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.410246030736209e-03, -9.763770666237762e-05, -0.000000000000000e+00, 8.234283613210978e+00, 0.000000000000000e+00
47, 9.474835031815878e-01, 2.501571208295718e-03, 3.552259243224914e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.104518486449830e-02, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.419614928339398e-03, -9.828635778849053e-05, -0.000000000000000e+00, 8.258716641495424e+00, 0.000000000000000e+00
48, 9.433828728719658e-01, 2.785476378440204e-03, 4.770461720735238e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 9.540923441470477e-02, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.419079399792813e-03, -9.824928072675669e-05, -0.000000000000000e+00, 8.253989064528886e+00, 0.000000000000000e+00
49, 9.389359108280190e-01, 3.093359659883617e-03, 5.823940796587483e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.164788159317497e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.416382714571667e-03, -1.045770642430394e-04, -0.000000000000000e+00, 8.244002376916983e+00, 0.000000000000000e+00
50, 9.341201958264596e-01, 3.469375978798814e-03, 6.505995251835667e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.301199050367134e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.423632789614115e-03, -1.112918580388002e-04, -0.000000000000000e+00, 8.262526772178946e+00, 0.000000000000000e+00
51, 9.289061760548830e-01, 3.877429700052631e-03, 7.204874113619264e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.440974822723853e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.434844931947517e-03, -1.122922120654549e-04, -0.000000000000000e+00, 8.290719322022237e+00, 0.000000000000000e+00
52, 9.232659194354580e-01, 4.318841087659802e-03, 8.408860700602312e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.681772140120463e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.439868185746514e-03, -1.126853362758153e-04, -0.000000000000000e+00, 8.300482100353900e+00, 0.000000000000000e+00
53, 9.171705274472695e-01, 4.795871764996302e-03, 9.317859504081065e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.863571900816213e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.445928035131519e-03, -1.232820957141177e-04, -0.000000000000000e+00, 8.315090372134565e+00, 0.000000000000000e+00
54, 9.105977153706357e-01, 5.398952066975131e-03, 1.012269457581831e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.024538915163661e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.463249670315658e-03, -1.345479721042728e-04, -0.000000000000000e+00, 8.361368154992716e+00, 0.000000000000000e+00
55, 9.035102900723406e-01, 6.051950802323661e-03, 1.193540793472098e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.387081586944197e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.476364536409553e-03, -1.360245977366108e-04, -0.000000000000000e+00, 8.392412790175028e+00, 0.000000000000000e+00
56, 8.958770811071053e-01, 6.755235223839734e-03, 1.313728620960644e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.627457241921289e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.490579476894343e-03, -1.467770763646104e-04, -0.000000000000000e+00, 8.428209175510375e+00, 0.000000000000000e+00
57, 8.876767730917128e-01, 7.611074194944143e-03, 1.422695938676302e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.845391877352605e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.512882330788494e-03, -1.594371113243773e-04, -0.000000000000000e+00, 8.486152643268689e+00, 0.000000000000000e+00
58, 8.788708615894550e-01, 8.547458227084977e-03, 1.563921507974922e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.127843015949844e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.531806422294990e-03, -1.657437402864497e-04, -0.000000000000000e+00, 8.531735194917337e+00, 0.000000000000000e+00
59, 8.694309975669494e-01, 9.585294328693435e-03, 1.597968559916202e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.195937119832405e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.553749807345165e-03, -1.779062215245004e-04, -0.000000000000000e+00, 8.586165547370248e+00, 0.000000000000000e+00
60, 8.593339348917969e-01, 1.078445982962765e-02, 1.606501031644048e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.213002063288096e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.576685870903489e-03, -1.882745728384734e-04, -0.000000000000000e+00, 8.641351304764722e+00, 0.000000000000000e+00
61, 8.485439222068100e-01, 1.207945328822149e-02, 1.539677598124517e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.079355196249035e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.599483224753715e-03, -2.023677681916272e-04, -0.000000000000000e+00, 8.696000015756008e+00, 0.000000000000000e+00
62, 8.370511222515826e-01, 1.360369731411371e-02, 1.445327192874022e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.890654385748044e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.623817977709137e-03, -2.173231997364713e-04, -0.000000000000000e+00, 8.753497349005226e+00, 0.000000000000000e+00
63, 8.248190354761824e-01, 1.525466650082512e-02, 1.302849930319826e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.605699860639653e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.644981144091200e-03, -2.317069921501259e-04, -0.000000000000000e+00, 8.800942614070790e+00, 0.000000000000000e+00
64, 8.118439000020585e-01, 1.715430922773765e-02, 1.026126224025858e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.052252448051717e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.669440723154242e-03, -2.503189922068256e-04, -0.000000000000000e+00, 8.857000290867322e+00, 0.000000000000000e+00
65, 7.981043417207790e-01, 1.926031649199808e-02, 7.158778211872326e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.431755642374465e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.691441757656999e-03, -2.664102352143003e-04, -0.000000000000000e+00, 8.904095184842069e+00, 0.000000000000000e+00
66, 7.835930369735098e-01, 2.160395641799510e-02, 4.095436183590032e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.190872367180066e-02, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.714098434237986e-03, -2.870969360320429e-04, -0.000000000000000e+00, 8.953120974478530e+00, 0.000000000000000e+00
67, 7.683156655264551e-01, 2.424966686594148e-02, 2.352910704835424e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.705821409670850e-02, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.735970073709870e-03, -3.060625775066133e-04, -0.000000000000000e+00, 8.997726648716618e+00, 0.000000000000000e+00
