"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,         212,       -5.83508999,      -4.886774898,      -5.290357137,      -9.209426436
          0,           0,         213,      -5.836356804,      -4.887652238,       -5.28343832,      -9.204802802
          0,           0,         214,      -5.841165801,      -4.887844337,      -5.272013227,      -9.200180046
          0,           0,         215,       -5.84956263,      -4.887495075,      -5.258084567,      -9.195480281
          0,           0,         216,      -5.861569586,      -4.886777281,      -5.243451798,      -9.190697612
          0,           0,         217,      -5.877162811,      -4.885876303,      -5.229544439,      -9.185845965
          0,           0,         218,      -5.896242301,      -4.884975382,      -5.217396936,       -9.18090914
          0,           0,         219,      -5.918593822,      -4.884243962,      -5.207708694,       -9.17592255
          0,           0,         220,      -5.943831832,      -4.883828506,      -5.200927355,      -9.170809599
          0,           0,         221,      -5.971317478,      -4.883846402,      -5.197323454,      -9.165693621
          0,           0,         222,       -6.00005574,      -4.884382318,      -5.197046436,      -9.160258425
          0,           0,         223,       -6.02859691,      -4.885486752,      -5.200162272,      -9.154548946
          0,           0,         224,      -6.054719191,      -4.887176318,      -5.206723341,      -9.148700554
          0,           0,         225,      -6.075670453,      -4.889436451,      -5.216748072,       -9.14272494
          0,           0,         226,      -6.089789189,      -4.892223144,       -5.23008179,      -9.136588757
          0,           0,         227,      -6.096176459,      -4.895458327,      -5.246510088,      -9.130325281
          0,           0,         228,      -6.095001017,       -4.89904461,      -5.265730696,      -9.123998281
          0,           0,         229,      -6.087621741,      -4.902869202,       -5.28729835,      -9.117572465
          0,           0,         230,      -6.075982019,      -4.906807298,      -5.310595377,      -9.111047319
          0,           0,         231,      -6.062113975,      -4.910730942,      -5.334774943,      -9.104462399
          0,           0,         232,      -6.047770281,       -4.91451654,       -5.35872357,      -9.097917031
          0,           0,         233,       -6.03429822,      -4.918052674,      -5.381066711,      -9.091353937
          0,           0,         234,      -6.022722783,      -4.921247571,      -5.400247393,      -9.084723845
          0,           0,         235,      -6.013718048,      -4.924033888,       -5.41478193,      -9.078056522
          0,           0,         236,      -6.007711609,      -4.926374145,      -5.423591907,      -9.071368592
          0,           0,         237,      -6.004963296,      -4.928262393,      -5.426312848,      -9.064625022
          0,           0,         238,      -6.005621875,      -4.929723385,      -5.423407051,      -9.057830669
          0,           0,         239,      -6.009761442,      -4.930809172,      -5.416010669,      -9.050989722
          0,           0,         240,      -6.017401973,      -4.931593735,       -5.40560894,      -9.044116616
          0,           0,         241,      -6.028516743,      -4.932166289,      -5.393709036,      -9.037249605
          0,           0,         242,       -6.04306069,      -4.932623067,      -5.381586412,      -9.030285107
          0,           0,         243,      -6.060973852,      -4.933061423,      -5.370274465,      -9.023202431
          0,           0,         244,      -6.082012767,      -4.933574363,      -5.360541591,      -9.016082882
          0,           0,         245,      -6.105761674,       -4.93424494,      -5.352921284,      -9.008929375
          0,           0,         246,      -6.131587595,      -4.935141584,       -5.34776625,      -9.001767397
          0,           0,         247,      -6.158557201,      -4.936315244,      -5.345293415,      -8.994602634
          0,           0,         248,      -6.185429825,       -4.93779743,      -5.345597624,      -8.987448216
          0,           0,         249,      -6.210667135,      -4.939599013,      -5.348691678,      -8.980337825
          0,           0,         250,      -6.232198419,      -4.941712736,      -5.354607672,      -8.973268338
          0,           0,         251,      -6.247836362,      -4.944116718,      -5.363288806,      -8.966235403
          0,           0,         252,      -6.256002776,      -4.946771571,      -5.374620543,      -8.959232061
          0,           0,         253,      -6.256253292,      -4.949623157,      -5.388419046,      -8.952258983
          0,           0,         254,      -6.249472279,       -4.95260585,      -5.404391694,      -8.945324485
          0,           0,         255,      -6.237599858,      -4.955645084,       -5.42208062,      -8.938383287
          0,           0,         256,      -6.222514882,      -4.958662625,      -5.441042993,      -8.931456739
          0,           0,         257,      -6.206008522,      -4.961586872,      -5.460571081,      -8.924559805
          0,           0,         258,      -6.189656755,      -4.964348993,       -5.47976744,      -8.917686331
          0,           0,         259,      -6.174663076,      -4.966888058,      -5.497566173,      -8.910793686
          0,           0,         260,      -6.161857168,      -4.969155388,      -5.512813588,      -8.903888448
          0,           0,         261,      -6.151751477,      -4.971117146,      -5.524437964,      -8.896953534
          0,           0,         262,      -6.144579208,      -4.972757329,      -5.531778729,      -8.890007819
          0,           0,         263,      -6.140487773,      -4.974080926,       -5.53451379,      -8.883036807
          0,           0,         264,      -6.139588099,      -4.975107366,      -5.532863054,      -8.876037273
          0,           0,         265,      -6.141929329,      -4.975869973,      -5.527528853,      -8.868990025
          0,           0,         266,      -6.147443963,      -4.976413295,      -5.519553345,      -8.861920483
          0,           0,         267,      -6.156088259,      -4.976791239,       -5.51011161,      -8.854806739
          0,           0,         268,      -6.167811031,      -4.977064113,      -5.500214169,      -8.847606765
          0,           0,         269,      -6.182537799,       -4.97729096,      -5.490731529,      -8.840351491
          0,           0,         270,      -6.200134444,      -4.977527934,      -5.482361899,      -8.833043213
          0,           0,         271,      -6.220376083,      -4.977826017,      -5.475634631,      -8.825682546
          0,           0,         272,      -6.242910421,      -4.978228573,      -5.470933342,      -8.818229641
          0,           0,         273,      -6.267106872,      -4.978769357,      -5.468546329,      -8.810717264
          0,           0,         274,      -6.291984611,      -4.979471808,      -5.468685696,      -8.803204993
          0,           0,         275,      -6.316621039,      -4.980349374,      -5.471424052,      -8.795588608
          0,           0,         276,      -6.339862758,       -4.98140282,      -5.476776842,      -8.787943486
          0,           0,         277,      -6.360350437,      -4.982621815,      -5.484712671,      -8.780269533
          0,           0,         278,      -6.376712816,      -4.983987091,       -5.49514956,      -8.772558237
          0,           0,         279,       -6.38787125,       -4.98547192,      -5.507945321,      -8.764824848
          0,           0,         280,       -6.39333902,      -4.987043592,      -5.522881049,      -8.757079916
          0,           0,         281,      -6.393376255,      -4.988665291,      -5.539637991,      -8.749329453
          0,           0,         282,      -6.388917404,      -4.990298231,      -5.557770034,      -8.741558796
          0,           0,         283,       -6.38131384,      -4.991903881,      -5.576676736,      -8.733783319
          0,           0,         284,      -6.372028011,      -4.993446138,      -5.595586579,      -8.726011597
          0,           0,         285,       -6.36240124,      -4.994893352,      -5.613566491,      -8.718243405
          0,           0,         286,       -6.35353722,      -4.996220069,      -5.629577888,      -8.710480552
          0,           0,         287,      -6.346278864,      -4.997408436,      -5.642594034,      -8.702732212
          0,           0,         288,      -6.341236483,      -4.998449055,      -5.651770707,      -8.694995923
          0,           0,         289,       -6.33883348,      -4.999341346,      -5.656625654,      -8.687265475
          0,           0,         290,      -6.339350264,      -5.000093298,      -5.657156224,      -8.679546399
